Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2023,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,005",97.1,5005
CENSUS,2023,YEAR,,STATE,NEW YORK,36,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,801,44.6,801
CENSUS,2023,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,349",42.3,4349
CENSUS,2023,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,290",70.6,1290
CENSUS,2023,YEAR,,STATE,OHIO,39,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,269",41.8,1269
CENSUS,2023,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,047",(H),4047
CENSUS,2023,YEAR,,STATE,OREGON,41,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"155,334",14.6,155334
CENSUS,2023,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,986",25.1,1986
CENSUS,2023,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,18,75.1,18
CENSUS,2023,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,048",94,1048
CENSUS,2023,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2023,YEAR,,STATE,TENNESSEE,47,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,125,(H),125
CENSUS,2023,YEAR,,STATE,TEXAS,48,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"54,487",39.9,54487
CENSUS,2023,YEAR,,STATE,UTAH,49,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2023,YEAR,,STATE,VERMONT,50,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,227,59.6,227
CENSUS,2023,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,144",59.4,1144
CENSUS,2023,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"154,607",20.9,154607
CENSUS,2023,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,6,(H),6
CENSUS,2023,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,654,82.1,654
CENSUS,2023,YEAR,,STATE,WYOMING,56,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"26,938",23,26938
CENSUS,2023,YEAR,,STATE,IOWA,19,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,,,
