Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
20.0,1.0,23.0,12.6806705061717,211754000000.0,131175000000.0,2937150.0,5074296.0,111373790850.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.48536567,-98.08532491,32.87856631,-86.71153023,1.0,0.0,3.0,3.0,17.082248338214743,17.04356957796615,4.0
1.0,21.0,37.0,4.977654930821917,131175000000.0,102283000000.0,5074296.0,4512310.0,171394495992.0,153328293800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,37.62171898,-85.20171191,0.0,1.0,3.0,3.0,17.04356957796615,15.95009217326982,4.0
21.0,1.0,37.0,4.977654930821917,102283000000.0,131175000000.0,4512310.0,5074296.0,153328293800.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.62171898,-85.20171191,32.87856631,-86.71153023,1.0,0.0,3.0,3.0,15.95009217326982,17.04356957796615,4.0
1.0,22.0,49.0,5.414902314044916,131175000000.0,111914000000.0,5074296.0,4590241.0,171394495992.0,147672643211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,31.0806972,-91.81925318,0.0,0.0,3.0,4.0,17.04356957796615,17.88009549830889,2.0
22.0,1.0,49.0,5.414902314044916,111914000000.0,131175000000.0,4590241.0,5074296.0,147672643211.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0806972,-91.81925318,32.87856631,-86.71153023,0.0,0.0,4.0,3.0,17.88009549830889,17.04356957796615,2.0
1.0,27.0,11.0,14.835249535301182,131175000000.0,206232000000.0,5074296.0,5717184.0,171394495992.0,257393340864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,45.54670036,-94.4318287,0.0,1.0,3.0,2.0,17.04356957796615,17.499573988722897,4.0
27.0,1.0,11.0,14.835249535301182,206232000000.0,131175000000.0,5717184.0,5074296.0,257393340864.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.54670036,-94.4318287,32.87856631,-86.71153023,1.0,0.0,2.0,3.0,17.499573988722897,17.04356957796615,4.0
1.0,28.0,328.0,2.9359060866702134,131175000000.0,121532000000.0,5074296.0,2940057.0,171394495992.0,85393955565.0,0.0,1.0,25.599798146519188,25.52344343953564,25.599798146519188,26.052267585625444,1.0770161234117333,0.0,0.0,32.87856631,-86.71153023,32.79092429,-89.64612789,0.0,0.0,3.0,1.0,17.04356957796615,16.911601448146733,4.0
28.0,1.0,328.0,2.9359060866702134,121532000000.0,131175000000.0,2940057.0,5074296.0,85393955565.0,171394495992.0,0.0,1.0,25.599798146519188,25.52344343953564,25.599798146519188,26.052267585625444,1.0770161234117333,0.0,0.0,32.79092429,-89.64612789,32.87856631,-86.71153023,0.0,0.0,1.0,3.0,16.911601448146733,17.04356957796615,4.0
1.0,39.0,71.0,8.39004087159417,131175000000.0,105824000000.0,5074296.0,11756058.0,171394495992.0,445930792056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,40.31742129,-82.83129539,0.0,1.0,3.0,5.0,17.04356957796615,16.574187523725264,4.0
39.0,1.0,71.0,8.39004087159417,105824000000.0,131175000000.0,11756058.0,5074296.0,445930792056.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.31742129,-82.83129539,32.87856631,-86.71153023,1.0,0.0,5.0,3.0,16.574187523725264,17.04356957796615,4.0
1.0,47.0,228.0,3.066014459160928,131175000000.0,106792000000.0,5074296.0,7051339.0,171394495992.0,258812346656.0,0.0,1.0,25.599798146519188,25.394148854299843,25.599798146519188,25.975141280048376,1.1203784964074937,1.0,1.0,32.87856631,-86.71153023,35.88471808,-86.10862377,0.0,1.0,3.0,4.0,17.04356957796615,16.086867263002663,2.0
47.0,1.0,228.0,3.066014459160928,106792000000.0,131175000000.0,7051339.0,5074296.0,258812346656.0,171394495992.0,0.0,1.0,25.599798146519188,25.394148854299843,25.599798146519188,25.975141280048376,1.1203784964074937,1.0,1.0,35.88471808,-86.10862377,32.87856631,-86.71153023,1.0,0.0,4.0,3.0,16.086867263002663,17.04356957796615,2.0
1.0,47.0,1400.0,3.066014459160928,131175000000.0,106792000000.0,5074296.0,7051339.0,171394495992.0,258812346656.0,0.0,1.0,25.599798146519188,25.394148854299843,25.599798146519188,25.975141280048376,1.1203784964074937,1.0,1.0,32.87856631,-86.71153023,35.88471808,-86.10862377,0.0,1.0,3.0,4.0,17.04356957796615,16.086867263002663,4.0
47.0,1.0,1400.0,3.066014459160928,106792000000.0,131175000000.0,7051339.0,5074296.0,258812346656.0,171394495992.0,0.0,1.0,25.599798146519188,25.394148854299843,25.599798146519188,25.975141280048376,1.1203784964074937,1.0,1.0,35.88471808,-86.10862377,32.87856631,-86.71153023,1.0,0.0,4.0,3.0,16.086867263002663,17.04356957796615,4.0
1.0,51.0,8.0,9.443925701159984,131175000000.0,102258000000.0,5074296.0,8683619.0,171394495992.0,409858133181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,37.56542632,-78.51268422,0.0,0.0,3.0,4.0,17.04356957796615,18.272475748303947,4.0
51.0,1.0,8.0,9.443925701159984,102258000000.0,131175000000.0,8683619.0,5074296.0,409858133181.0,171394495992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.56542632,-78.51268422,32.87856631,-86.71153023,0.0,0.0,4.0,3.0,18.272475748303947,17.04356957796615,4.0
2.0,2.0,7.0,1.0,1346080000000.0,1346080000000.0,733583.0,733583.0,31583682482.0,31583682482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0718779,-134.6421729,60.0718779,-134.6421729,0.0,0.0,1.0,1.0,48.848668515079495,48.848668515079495,3.0
2.0,2.0,7.0,1.0,1346080000000.0,1346080000000.0,733583.0,733583.0,31583682482.0,31583682482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0718779,-134.6421729,60.0718779,-134.6421729,0.0,0.0,1.0,1.0,48.848668515079495,48.848668515079495,3.0
2.0,2.0,27.0,1.0,1346080000000.0,1346080000000.0,733583.0,733583.0,31583682482.0,31583682482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0718779,-134.6421729,60.0718779,-134.6421729,0.0,0.0,1.0,1.0,48.848668515079495,48.848668515079495,4.0
2.0,2.0,27.0,1.0,1346080000000.0,1346080000000.0,733583.0,733583.0,31583682482.0,31583682482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0718779,-134.6421729,60.0718779,-134.6421729,0.0,0.0,1.0,1.0,48.848668515079495,48.848668515079495,4.0
4.0,4.0,292.0,1.0,294361000000.0,294361000000.0,7359197.0,7359197.0,293035865343.0,293035865343.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.67825359,-111.4708913,33.67825359,-111.4708913,1.0,1.0,3.0,3.0,25.018609812195567,25.018609812195567,2.0
