Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
1.0,1.0,10.0,1.0,131175000000.0,131175000000.0,4822023.0,4822023.0,110014454745.0,110014454745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,2.0
1.0,1.0,10.0,1.0,131175000000.0,131175000000.0,4822023.0,4822023.0,110014454745.0,110014454745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,2.0
1.0,1.0,273.0,1.0,131175000000.0,131175000000.0,4822023.0,4822023.0,110014454745.0,110014454745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,3.0
1.0,1.0,273.0,1.0,131175000000.0,131175000000.0,4822023.0,4822023.0,110014454745.0,110014454745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,3.0
1.0,1.0,235.0,1.0,131175000000.0,131175000000.0,4822023.0,4822023.0,110014454745.0,110014454745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,4.0
1.0,1.0,235.0,1.0,131175000000.0,131175000000.0,4822023.0,4822023.0,110014454745.0,110014454745.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,4.0
1.0,5.0,4.0,6.073087619273697,131175000000.0,134661000000.0,4822023.0,2949131.0,110014454745.0,63828042233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,34.91154416,-92.43423888,0.0,1.0,3.0,1.0,17.04356957796615,16.34192872200948,3.0
5.0,1.0,4.0,6.073087619273697,134661000000.0,131175000000.0,2949131.0,4822023.0,63828042233.0,110014454745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.91154416,-92.43423888,32.87856631,-86.71153023,1.0,0.0,1.0,3.0,16.34192872200948,17.04356957796615,3.0
1.0,12.0,6.0,5.623328405378858,131175000000.0,138958000000.0,4822023.0,19317568.0,110014454745.0,491207119104.0,0.0,1.0,25.599798146519188,25.65743756614471,25.599798146519188,18.880104376897247,1.7269237315489312,0.0,0.0,32.87856631,-86.71153023,28.93181099,-82.70591607,0.0,0.0,3.0,5.0,17.04356957796615,20.207697261419515,2.0
12.0,1.0,6.0,5.623328405378858,138958000000.0,131175000000.0,19317568.0,4822023.0,491207119104.0,110014454745.0,0.0,1.0,25.599798146519188,25.65743756614471,25.599798146519188,18.880104376897247,1.7269237315489312,0.0,0.0,28.93181099,-82.70591607,32.87856631,-86.71153023,0.0,0.0,5.0,3.0,20.207697261419515,17.04356957796615,2.0
1.0,12.0,19.0,5.623328405378858,131175000000.0,138958000000.0,4822023.0,19317568.0,110014454745.0,491207119104.0,0.0,1.0,25.599798146519188,25.65743756614471,25.599798146519188,18.880104376897247,1.7269237315489312,0.0,0.0,32.87856631,-86.71153023,28.93181099,-82.70591607,0.0,0.0,3.0,5.0,17.04356957796615,20.207697261419515,3.0
12.0,1.0,19.0,5.623328405378858,138958000000.0,131175000000.0,19317568.0,4822023.0,491207119104.0,110014454745.0,0.0,1.0,25.599798146519188,25.65743756614471,25.599798146519188,18.880104376897247,1.7269237315489312,0.0,0.0,28.93181099,-82.70591607,32.87856631,-86.71153023,0.0,0.0,5.0,3.0,20.207697261419515,17.04356957796615,3.0
