Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2013,YEAR,,STATE,FLORIDA,12,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"293,642",,293642
CENSUS,2013,YEAR,,STATE,FLORIDA,12,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"104,664",,104664
CENSUS,2013,YEAR,,STATE,GEORGIA,13,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"17,510",,17510
CENSUS,2013,YEAR,,STATE,GEORGIA,13,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),558,,558
CENSUS,2013,YEAR,,STATE,GEORGIA,13,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"8,390",,8390
CENSUS,2013,YEAR,,STATE,HAWAII,15,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND), (D),,
CENSUS,2013,YEAR,,STATE,HAWAII,15,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"25,622",,25622
CENSUS,2013,YEAR,,STATE,HAWAII,15,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"2,371",,2371
CENSUS,2013,YEAR,,STATE,IDAHO,16,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"120,782",,120782
CENSUS,2013,YEAR,,STATE,IDAHO,16,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),"120,021",,120021
CENSUS,2013,YEAR,,STATE,IDAHO,16,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"20,414",,20414
CENSUS,2013,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"21,508",,21508
CENSUS,2013,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),125,,125
CENSUS,2013,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"3,175",,3175
CENSUS,2013,YEAR,,STATE,INDIANA,18,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"14,918",,14918
CENSUS,2013,YEAR,,STATE,INDIANA,18,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),30,,30
CENSUS,2013,YEAR,,STATE,INDIANA,18,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),"1,412",,1412
CENSUS,2013,YEAR,,STATE,IOWA,19,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (GROUND),"2,619",,2619
CENSUS,2013,YEAR,,STATE,IOWA,19,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (OFF FARM),56,,56
CENSUS,2013,YEAR,,STATE,IOWA,19,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",WATER SOURCE,WATER SOURCE: (ON FARM SURFACE),323,,323
