State,next_yr_harvest_total,next_yr_harvest_corn,next_yr_harvest_cotton,next_yr_harvest_rice,next_yr_harvest_soybeans,next_yr_harvest_wheat,next_yr_yield_corn,next_yr_yield_cotton,next_yr_yield_soybeans,next_yr_yield_wheat,next_yr_prod_corn,next_yr_prod_cotton,next_yr_prod_soybeans,next_yr_prod_wheat
1,2309,295,362,,425,270,148,736,43,69,43660,555,18275,18630
2,,,,,,,,,,,,,,
4,733,51,160.5,,,89,180,1447,,99.5,9180,483.7,,8858
5,7560,870,305,1070,3230,615,187,1149,43.5,62,162690,730,140505,38130
6,3508,180,278,561,,407,195,1597,,83.3,35100,925,,33900
8,4890,990,,,,1649,131,,,27.3,129690,,,45018
9,70,,,,,,,,,,,,,
10,472,174,,,163,78,166,,40,68,28884,,6520,5304
12,1163,78,128,,30,19,130,750,41,59,10140,200,1230,1121
13,3557,465,1355,,225,350,175,850,40,60,81375,2400,9000,21000
15,18,,,,,,,,,,,,,
16,4338,120,,,,1241,180,,,82.1,21600,,,101872
17,22854,11800,,,9420,830,178,,49,67,2100400,,461580,55610
18,12270,5850,,,5190,440,177,,51,73,1035450,,264690,32120
19,23981,13100,,,9240,21,165,,44.5,52,2161500,,411180,1092
20,21881,4000,26,,3540,8400,127,720,36,38,508000,39,127440,319200
21,6447,1430,,,1640,610,170,,49.5,75,243100,,81180,45750
22,3525,670,125,413,1110,250,173,1248,48,58,115910,325,53280,14500
23,260,,,,,,,,,,,,,
24,1489,420,,,475,260,158,,39,67,66360,,18525,17420
25,101,,,,,,,,,,,,,
26,6433,2250,,,1890,600,155,,44,75,348750,,83160,45000
27,19066,8150,,,6620,1187,160,,41,56.7,1304000,,271420,67281
28,4441,830,285,124,1990,385,176,1229,45,58,146080,730,89550,22330
29,14373,3200,246,156,5550,1000,136,956,35.5,56,435200,490,197025,56000
30,9135,75,,,,5220,115,,,38.9,8625,,,203070
31,18756,9550,,,4760,1130,170,,53,35,1623500,,252280,39550
32,365,,,,,14,,,,86.8,,,,1215
33,63,,,,,,,,,,,,,
34,304,80,,,87,29,139,,39,54,11120,,3393,1566
35,555,39,36.4,,,70,190,1068,,44,7410,81,,3080
36,3093,690,,,278,115,138,,48,68,95220,,13344,7820
37,4876,870,460,,1420,920,142,819,33,57,123540,785,46860,52440
38,19995,3600,,,4620,6035,110,,30,45.4,396000,,138600,273750
39,10083,3740,,,4430,665,177,,49,70,661980,,217070,46550
40,7874,310,125,,335,3400,145,730,30,31,44950,190,10050,105400
41,2099,36,,,,868,190,,,62.1,6840,,,53904
42,3551,1090,,,535,160,147,,49,68,160230,,26215,10880
44,11,,,,,,,,,,,,,
45,1556,335,254,,310,255,130,680,28,54,43550,360,8680,13770
46,16874,5860,,,4580,1839,138,,40,42.2,808680,,183200,77558
47,5099,820,233,,1520,540,156,871,46,71,127920,423,69920,38340
48,16292,2000,3208.5,144,95,2250,138,646,25,29,276000,4316,2375,65250
49,964,31,,,,124,170,,,44.5,5270,,,5512
50,265,,,,,,,,,,,,,
51,2754,360,77,,590,275,154,960,38,62,55440,154,22420,17050
53,3605,105,,,,2155,215,,,66.9,22575,,,144240
54,670,36,,,21,7,147,,46,52,5292,,966,364
55,7633,3050,,,1550,265,146,,38,58,445300,,58900,15370
56,1350,68,,,,120,127,,,24,8636,,,2880
