Exporter,Importer,Shipments,Distance,Area_exporter,Area_importer,Population_exporter,Population_importer,GDP_exporter,GDP_importer,Intrastate_or_not,Share_Border,BorderxArea_exporter,BorderxArea_importer,BorderxPop_exporter,BorderxPop_importer,BorderxDist,sum_LL,Borderxsum_LL,Lat_ex,Long_ex,Lat_im,Long_im,LL_ex,LL_im,num_FAF_ex,num_FAF_im,remoteness_ex,remoteness_im,SCTG
1.0,1.0,312.0,1.0,131175000000.0,131175000000.0,4874747.0,4874747.0,129171046006.0,129171046006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,2.0
1.0,1.0,312.0,1.0,131175000000.0,131175000000.0,4874747.0,4874747.0,129171046006.0,129171046006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,2.0
1.0,1.0,588.0,1.0,131175000000.0,131175000000.0,4874747.0,4874747.0,129171046006.0,129171046006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,3.0
1.0,1.0,588.0,1.0,131175000000.0,131175000000.0,4874747.0,4874747.0,129171046006.0,129171046006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,3.0
1.0,1.0,565.0,1.0,131175000000.0,131175000000.0,4874747.0,4874747.0,129171046006.0,129171046006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,4.0
1.0,1.0,565.0,1.0,131175000000.0,131175000000.0,4874747.0,4874747.0,129171046006.0,129171046006.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,32.87856631,-86.71153023,0.0,0.0,3.0,3.0,17.04356957796615,17.04356957796615,4.0
1.0,4.0,4.0,24.77227200602371,131175000000.0,294361000000.0,4874747.0,7016270.0,129171046006.0,206418663400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,33.67825359,-111.4708913,0.0,1.0,3.0,3.0,17.04356957796615,25.018609812195567,4.0
4.0,1.0,4.0,24.77227200602371,294361000000.0,131175000000.0,7016270.0,4874747.0,206418663400.0,129171046006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.67825359,-111.4708913,32.87856631,-86.71153023,1.0,0.0,3.0,3.0,25.018609812195567,17.04356957796615,4.0
1.0,5.0,17.0,6.073087619273697,131175000000.0,134661000000.0,4874747.0,3004279.0,129171046006.0,76056327164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.87856631,-86.71153023,34.91154416,-92.43423888,0.0,1.0,3.0,1.0,17.04356957796615,16.34192872200948,4.0
5.0,1.0,17.0,6.073087619273697,134661000000.0,131175000000.0,3004279.0,4874747.0,76056327164.0,129171046006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.91154416,-92.43423888,32.87856631,-86.71153023,1.0,0.0,1.0,3.0,16.34192872200948,17.04356957796615,4.0
1.0,6.0,3.0,34.396892476629226,131175000000.0,403671000000.0,4874747.0,39536653.0,129171046006.0,1385601541038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.87856631,-86.71153023,37.83798795,-120.7490147,0.0,0.0,3.0,6.0,17.04356957796615,31.30033897737643,3.0
