State,next_yr_harvest_total,next_yr_harvest_corn,next_yr_harvest_cotton,next_yr_harvest_rice,next_yr_harvest_soybeans,next_yr_harvest_wheat,next_yr_yield_corn,next_yr_yield_cotton,next_yr_yield_soybeans,next_yr_yield_wheat,next_yr_prod_corn,next_yr_prod_cotton,next_yr_prod_soybeans,next_yr_prod_wheat
1,2232,250,500,,340,110,156,826,41,72,39000,860,13940,7920
2,,,,,,,,,,,,,,
4,622,15,173,,,74,220,1301,,102.4,3300,469,,7580
5,7134,645,480,1427,3240,95,181,1150,51,55,116745,1150,165240,5225
6,2510,65,256,504,,143,173,1691,,81.2,11245,902,,11605
8,5599,1200,,,,1954,130,,,36.1,156000,,,70504
9,67,,,,,,,,,,,,,
10,409,166,,,168,45,145,,42,71,24070,,7056,3195
12,1060,65,90,,12,10,157,640,38,36,10205,120,456,360
13,3186,285,1350,,135,70,176,693,40,54,50160,1950,5400,3780
15,,,,,,,,,,,,,,
16,4074,135,,,,1136,213,,,91.9,28755,,,104410
17,22780,10850,,,10750,560,210,,65,66,2278500,,698750,36960
18,11990,5200,,,5920,260,189,,58.5,71,982800,,346320,18460
19,23959,12800,,,9910,6,196,,57,58,2508800,,564870,348
20,22726,5000,154,,4700,7300,129,1066,43.5,38,645000,342,204450,277400
21,5573,1230,,,1990,300,175,,52,66,215250,,103480,19800
22,3134,450,192,436,1200,10,173,1025,52,65,77850,410,62400,650
23,222,,,,,,,,,,,,,
24,1371,390,,,515,200,146,,47.5,63,56940,,24463,12600
25,91,,,,,,,,,,,,,
26,6283,1940,,,2280,470,153,,48,76,296820,,109440,35720
27,19223,7490,,,7710,1575,182,,50.5,59,1363180,,389355,92930
28,4064,465,615,139,2190,30,185,1116,54.5,49,86025,1430,119355,1470
29,13413,3330,322,220,5800,520,140,1245,45,59,466200,835,261000,30680
30,9350,68,,,,5165,85,,,38.3,5780,,,197630
31,19419,9310,,,5650,1010,192,,59,49,1787520,,333350,49490
32,380,,,,,8,,,,112.5,,,,900
33,51,,,,,,,,,,,,,
34,301,61,,,103,15,141,,40,62,8601,,4120,930
35,620,35,64,,,105,187,915,,15,6545,122,,1575
36,2790,645,,,320,95,159,,52.5,69,102555,,16800,6555
37,4343,830,410,,1570,370,113,820,34,57,93790,700,53380,21090
38,23642,2930,,,6860,7635,153,,35.5,47.6,448290,,243530,363483
39,9890,3300,,,4980,450,187,,58,75,617100,,288840,33750
40,7575,280,565,,600,2500,134,637,30,28,37520,750,18000,70000
41,1940,45,,,,770,195,,,67,8775,,,51590
42,3381,950,,,630,145,140,,45,65,133000,,28350,9425
44,8,,,,,,,,,,,,,
45,1430,310,290,,375,65,127,728,29.5,54,39370,440,11063,3510
46,16595,4860,,,5580,1628,160,,46,44.4,777600,,256680,72294
47,4774,690,355,,1670,285,168,1055,46,65,115920,780,76820,18525
48,15169,1750,4617.5,189,135,1750,108,721,32,32,189000,6935,4320,56000
49,836,22,,,,103,182,,,52,4004,,,5356
50,249,,,,,,,,,,,,,
51,2502,325,97,,590,155,146,965,43,60,47450,195,25370,9300
53,3612,85,,,,2165,220,,,70.8,18700,,,153210
54,609,33,,,27,3,152,,53.5,46,5016,,1445,138
55,7731,3170,,,2160,200,172,,49,71,545240,,105840,14200
56,1416,70,,,,115,164,,,34,11480,,,3910
