Program,Year,Period,Week Ending,Geo Level,State_name,State,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Value_analysis
CENSUS,2018,YEAR,,STATE,ALASKA,2,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2018,YEAR,,STATE,ARIZONA,4,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"30,180",70.4,30180
CENSUS,2018,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,53,57.2,53
CENSUS,2018,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"179,469",30.7,179469
CENSUS,2018,YEAR,,STATE,COLORADO,8,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"36,649",29.5,36649
CENSUS,2018,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,817,81.9,817
CENSUS,2018,YEAR,,STATE,DELAWARE,10,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2018,YEAR,,STATE,FLORIDA,12,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"419,337",41.8,419337
CENSUS,2018,YEAR,,STATE,GEORGIA,13,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,808",95.1,9808
CENSUS,2018,YEAR,,STATE,HAWAII,15,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,201,84.8,201
CENSUS,2018,YEAR,,STATE,IDAHO,16,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"207,665",13.1,207665
CENSUS,2018,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"23,587",34.1,23587
CENSUS,2018,YEAR,,STATE,INDIANA,18,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"30,639",28.3,30639
CENSUS,2018,YEAR,,STATE,IOWA,19,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,734",(H),1734
CENSUS,2018,YEAR,,STATE,KANSAS,20,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"44,828",50.3,44828
CENSUS,2018,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,126",65,1126
CENSUS,2018,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13,41.8,13
CENSUS,2018,YEAR,,STATE,MAINE,23,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,210,74,210
CENSUS,2018,YEAR,,STATE,MARYLAND,24,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,242",64.8,1242
CENSUS,2018,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,772,52.8,772
CENSUS,2018,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,756",92.1,3756
CENSUS,2018,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,900",60.1,7900
CENSUS,2018,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D),
CENSUS,2018,YEAR,,STATE,MISSOURI,29,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,612,80.6,612
CENSUS,2018,YEAR,,STATE,MONTANA,30,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"67,616",24.8,67616
CENSUS,2018,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"106,368",29.5,106368
CENSUS,2018,YEAR,,STATE,NEVADA,32,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"21,962",65.2,21962
CENSUS,2018,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,36,54.8,36
CENSUS,2018,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,311",48.5,1311
CENSUS,2018,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,234",53.3,8234
CENSUS,2018,YEAR,,STATE,NEW YORK,36,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,623",36.4,2623
CENSUS,2018,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,072",39,10072
CENSUS,2018,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"28,698",42.7,28698
CENSUS,2018,YEAR,,STATE,OHIO,39,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,276,28.1,276
CENSUS,2018,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,605",47.9,12605
CENSUS,2018,YEAR,,STATE,OREGON,41,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"205,147",21.4,205147
CENSUS,2018,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,270",59.6,2270
CENSUS,2018,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,14,75.4,14
CENSUS,2018,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,730",92.9,1730
CENSUS,2018,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,564",52.2,5564
CENSUS,2018,YEAR,,STATE,TEXAS,48,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"59,826",43.2,59826
CENSUS,2018,YEAR,,STATE,UTAH,49,,,,,,,0,,"CROPS, OTHER","CROPS, OTHER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,271",61,3271
